series1,series2,sbd,cogroup1,cogroup2,same_cogroup,pair_type,relationship,overlap
m4.C14,m1.C3,0.6116447857924348,3,2,FALSE,clone-clone,between co-clusters,0.0303030303030303
m4.Enterobacteriaceae,m1.C3,0.5073103812052355,5,2,FALSE,clone-species,between co-clusters,0
m4.Paenibacillaceae,m1.C3,0.4013239977385955,1,2,FALSE,clone-species,between co-clusters,0
m5.C1,m1.C3,0.4096459289723904,1,2,FALSE,clone-clone,between co-clusters,0.01515151515151515
m5.C2,m1.C3,0.13752645606815406,2,2,TRUE,clone-clone,within co-cluster,0.075
m5.C3,m1.C3,0.32839046359629354,1,2,FALSE,clone-clone,between co-clusters,0
m5.C4,m1.C3,0.2775024963682755,2,2,TRUE,clone-clone,within co-cluster,0.05263157894736842
m5.C5,m1.C3,0.33057846206011043,2,2,TRUE,clone-clone,within co-cluster,0.07142857142857142
m5.C6,m1.C3,0.6410919198210572,5,2,FALSE,clone-clone,between co-clusters,0.02941176470588235
m5.C7,m1.C3,0.5023359978826927,5,2,FALSE,clone-clone,between co-clusters,0.06547619047619048
m5.C8,m1.C3,0.5633343322172484,5,2,FALSE,clone-clone,between co-clusters,0
m5.C9,m1.C3,0.5793969198434906,5,2,FALSE,clone-clone,between co-clusters,0.03571428571428571
m5.Enterobacteriaceae,m1.C3,0.4400108890919583,3,2,FALSE,clone-species,between co-clusters,0
m5.Lactobacillaceae,m1.C3,0.3099534415201358,2,2,TRUE,clone-species,within co-cluster,0
m5.Paenibacillaceae,m1.C3,0.47487856947672047,1,2,FALSE,clone-species,between co-clusters,0
m6.C1,m1.C3,0.11923142051504365,1,2,FALSE,clone-clone,between co-clusters,0.01351351351351351
m6.C2,m1.C3,0.3780830536714358,1,2,FALSE,clone-clone,between co-clusters,0
m6.C3,m1.C3,0.5150168750437953,5,2,FALSE,clone-clone,between co-clusters,0.17857142857142858
m6.C4,m1.C3,0.47241592544248234,5,2,FALSE,clone-clone,between co-clusters,0
m6.C5,m1.C3,0.1683560591541482,2,2,TRUE,clone-clone,within co-cluster,0
m6.C6,m1.C3,0.5619495515049427,5,2,FALSE,clone-clone,between co-clusters,0.01785714285714285
m6.Enterobacteriaceae,m1.C3,0.4915286783313013,3,2,FALSE,clone-species,between co-clusters,0
m6.Lactobacillaceae,m1.C3,0.3551731370113267,1,2,FALSE,clone-species,between co-clusters,0
m6.Paenibacillaceae,m1.C3,0.4206228582487158,1,2,FALSE,clone-species,between co-clusters,0
